"" "" "LR.summary.stat" "LR.summary.p.val" "p" "adj.p"
"333" "LMO2" "SLC25A6" "14.2100123739615" "0.00263278944657253" "0" "0"
"334" "CREM" "DNMT1" "14.1115435641052" "0.00275718816186499" "0" "0"
"335" "ATF4" "CCNL1" "14.0182711587768" "0.00288038779467625" "0" "0"
"336" "IKZF1" "TPRKB" "13.9150598591498" "0.00302308052253686" "0" "0"
"337" "ITGB2" "SDHC" "13.8213981920276" "0.00315862085233987" "0" "0"
"338" "RAD21" "PIM1" "13.7928224029107" "0.00320115981823355" "0" "0"
"339" "MAZ" "IDH2" "13.6348778052669" "0.00344672433897297" "0" "0"
"340" "MXI1" "WASF2" "13.4420553793314" "0.00377192701068463" "0" "0"
"341" "ELF1" "GTF3C6" "13.4083259720422" "0.00383185645401918" "0" "0"
"342" "TCF3" "TPRKB" "13.3665098922601" "0.0039074644295034" "0" "0"
"343" "ZFX" "LSM7" "13.188636659472" "0.00424592833870041" "0" "0"
"344" "KLF3" "C9orf78" "13.1428659266078" "0.00433761838037339" "0" "0"
"345" "SOX6" "SESN3" "13.1362136686804" "0.00435110659838889" "0" "0"
"346" "LYL1" "RPIA" "13.0964967257153" "0.00443250542186024" "0" "0"
"347" "ELF2" "POLD2" "12.9942774365019" "0.00464899716612055" "0" "0"
"348" "HDAC2" "ERH" "12.643527770686" "0.00547448303858411" "0" "0"
"349" "SOX6" "NME4" "12.538170296024" "0.00574963760178593" "0" "0"
"350" "JUND" "TRA2B" "12.4777447548581" "0.00591357163271022" "0" "0"
"351" "MXI1" "RPIA" "12.4233617350385" "0.00606505870383267" "0" "0"
"352" "NFE2L2" "NFIX" "12.3029743725515" "0.00641418498948843" "0" "0"
"353" "CHD2" "MRPS33" "12.2256993221141" "0.00664867638897659" "0" "0"
"354" "CTCF" "ESD" "12.1225191909223" "0.00697503150638312" "0" "0"
"355" "TBP" "DNMT1" "12.058826811528" "0.0071843375093914" "0" "0"
"356" "MAX" "RBM3" "11.9623984389148" "0.00751308379742943" "0" "0"
"357" "RFX3" "R3HDM4" "11.8892280915168" "0.00777241318040767" "0" "0"
"358" "RAD21" "EIF3F" "11.8547298672568" "0.00789772883446116" "0" "0"
"359" "MAZ" "SLC25A6" "11.8460761519009" "0.00792947543251254" "0" "0"
"360" "CTCF" "KRTCAP2" "11.7833977573959" "0.00816320683342331" "0" "0"
"361" "CREB1" "GTF3C6" "11.6144560361669" "0.00882761718694702" "0" "0"
"362" "E2F2" "BANF1" "11.5537566178891" "0.00907914313838187" "0" "0"
"363" "KLF3" "RPIA" "11.3697806276855" "0.00988550657907772" "0" "0"
"364" "KLF13" "SUMO2" "11.1859354398255" "0.010761789739015" "0" "0"
"365" "E2F1" "RPS12" "11.1319632150628" "0.0110332883992375" "0" "0"
"366" "ITGB2" "CKS1B" "11.1197205201467" "0.0110958068518561" "0" "0"
"367" "GABPA" "EIF3F" "11.0086068042353" "0.0116794262522943" "0" "0"
"368" "MGA" "RBM3" "11.0050627730385" "0.011698530725464" "0" "0"
"369" "NFIA" "RIOK3" "10.866821340968" "0.0124682576239526" "0" "0"
"370" "NFIX" "BSG" "10.7587361224043" "0.0131046465031535" "0" "0"
"371" "CHD2" "NAE1" "10.7471492335164" "0.0131747386283473" "0" "0"
"372" "CREM" "CCT6A" "10.6710411513029" "0.0136444032438124" "0" "0"
"373" "LYL1" "CDKN2D" "10.5207488574727" "0.0146208042528555" "0" "0"
"374" "RAD21" "FUS" "10.4427650509508" "0.0151542238257916" "0" "0"
"375" "ATF5" "RBMX" "10.3359415635995" "0.0159161148826737" "0" "0"
"376" "CREB1" "WASF2" "10.2830208379967" "0.0163073960592141" "0" "0"
"377" "HDAC2" "LSM5" "10.2373327477009" "0.0166528013008571" "0" "0"
"378" "IRF7" "MKRN1" "10.081675910961" "0.0178844678807627" "0" "0"
"379" "GFI1B" "SUMO2" "10.0746968192873" "0.0179417408861005" "0" "0"
"380" "E2F1" "SUMO2" "10.050919062023" "0.0181382268766108" "0" "0"
"381" "ITGB2" "DNMT1" "9.85464461184884" "0.0198429915927868" "0" "0"
"382" "ATF1" "SLC25A6" "9.82121299114988" "0.0201486555381065" "0" "0"
"383" "HBP1" "CDKN2D" "9.73394601692621" "0.0209684940083983" "0" "0"
"384" "CTCF" "TRA2B" "9.67310953284954" "0.0215593176022016" "0" "0"
"385" "SP4" "FUS" "9.42735722525947" "0.0241168480474881" "0" "0"
"386" "EP300" "CCNL1" "9.37548549137682" "0.0246935538563484" "0" "0"
"387" "IKZF1" "CCNL1" "9.25693407329845" "0.0260628468809173" "0" "0"
"388" "GATA1" "ENY2" "9.25142634180537" "0.0261282400234708" "1.11022302462516e-16" "1.4286372423476e-16"
"389" "SP100" "CCT6A" "9.24094139375097" "0.0262531723073797" "1.11022302462516e-16" "1.4286372423476e-16"
"390" "RAD21" "SUMO2" "9.21577746248522" "0.0265554041566675" "1.11022302462516e-16" "1.4286372423476e-16"
"391" "FOXP1" "PCSK7" "9.2144798875444" "0.0265710808136788" "1.11022302462516e-16" "1.4286372423476e-16"
"392" "EP300" "ERH" "9.20876449334139" "0.0266402393964715" "1.11022302462516e-16" "1.4286372423476e-16"
"393" "TBP" "SLC25A6" "9.16675878689102" "0.0271539662623409" "1.11022302462516e-16" "1.4286372423476e-16"
"394" "RAD21" "PCGF5" "9.16550898751552" "0.0271693989934398" "1.11022302462516e-16" "1.4286372423476e-16"
"395" "TAL1" "RPIA" "8.92156486954082" "0.0303521073155643" "3.33066907387547e-16" "4.25352448477295e-16"
"396" "NFIX" "RIOK3" "8.9154374223566" "0.0304365783457845" "3.33066907387547e-16" "4.25352448477295e-16"
"397" "LYL1" "UBA52" "8.90107191915354" "0.0306355196725663" "3.33066907387547e-16" "4.25352448477295e-16"
"398" "MLXIP" "UBA52" "8.76429705614623" "0.0325945178240598" "7.7715611723761e-16" "9.89995355375548e-16"
"399" "BBX" "MARCH8" "8.71405990618518" "0.033344395669695" "9.99200722162641e-16" "1.26966106801118e-15"
"400" "NFE2" "PPP1R14B" "8.65735788337474" "0.0342110472508181" "1.33226762955019e-15" "1.68443812514201e-15"
"401" "E2F2" "PSMC5" "8.6549231822039" "0.0342487489449728" "1.33226762955019e-15" "1.68443812514201e-15"
"402" "FOXO4" "EIF5A" "8.57591013431465" "0.0354945662876535" "2.1094237467878e-15" "2.66039263587416e-15"
"403" "RAD21" "RBM3" "8.4550692818093" "0.0374859878144782" "3.99680288865056e-15" "5.02823589217329e-15"
"404" "SP4" "MRPL51" "8.42828311343055" "0.0379419730084234" "4.55191440096314e-15" "5.71242723091167e-15"
"405" "TCF3" "MRPL51" "8.42373000441012" "0.0380200179940907" "4.66293670342566e-15" "5.83730594725138e-15"
"406" "HDAC2" "SUMO2" "8.33461490459786" "0.0395794792427412" "7.43849426498855e-15" "9.28895712401279e-15"
"407" "RFX3" "ERH" "8.31168368232784" "0.0399907558231304" "8.43769498715119e-15" "1.0510838718638e-14"
"408" "MAX" "RBMX" "8.30356437072032" "0.0401373748314888" "8.77076189453874e-15" "1.089896147189e-14"
"409" "NR3C1" "PIM1" "8.28704665983093" "0.0404372733582281" "9.65894031423886e-15" "1.19733074310981e-14"
"410" "E2F2" "LSM5" "8.2777395585091" "0.040607216603332" "1.01030295240889e-14" "1.24932584602758e-14"
"411" "SOX6" "RFXANK" "8.08906064425747" "0.0442065066766393" "2.75335310107039e-14" "3.39647207358318e-14"
"412" "E2F4" "RBMX" "7.96454666323291" "0.0467501300591679" "5.30686605770825e-14" "6.53053662926719e-14"
"413" "KLF3" "PPP1R14B" "7.89240732597636" "0.048288452672005" "7.76045894212984e-14" "9.52676194590758e-14"
"414" "FOXJ2" "SH3BGRL3" "7.77624080112001" "0.0508697286625432" "1.42885703269258e-13" "1.74983216322497e-13"
"415" "SOX6" "CCT6A" "7.56883661158986" "0.0558158763449708" "4.23994173104347e-13" "5.17988062081697e-13"
"416" "ZFX" "SNRPD2" "7.4289845055917" "0.0594114958851591" "8.80406858527749e-13" "1.07299585883069e-12"
"417" "LMO2" "ILF2" "7.3625544014911" "0.0611972018507995" "1.24478205520973e-12" "1.513440052737e-12"
"418" "ELF2" "FUS" "7.09407861410989" "0.0689588573236036" "5.02076158426235e-12" "6.08977541440433e-12"
"419" "IKZF1" "APEX1" "7.05482546585699" "0.0701706772307434" "6.15196782405292e-12" "7.44402789211176e-12"
"420" "JUND" "DNMT1" "6.9785701457829" "0.07258396051468" "9.12425690557939e-12" "1.10142815503065e-11"
"421" "HSF1" "PRKAG1" "6.96443832998227" "0.0730399228789008" "9.8149266491987e-12" "1.18198760359709e-11"
"422" "PKNOX1" "SUMO2" "6.9498557541724" "0.0735133305384921" "1.05822017815171e-11" "1.27136879223441e-11"
"423" "JUNB" "TRA2B" "6.74991517625176" "0.0803107350090614" "2.96193070070672e-11" "3.55011552070521e-11"
"424" "CTCF" "TUBG1" "6.65576206174576" "0.0837179416192391" "4.80034900718351e-11" "5.74003996849538e-11"
"425" "SP100" "RPIA" "6.63407662992313" "0.0845222054425873" "5.36408695239743e-11" "6.39904019968352e-11"
"426" "PKNOX1" "GAR1" "6.62799584330696" "0.0847490609983058" "5.53367351940892e-11" "6.58585087873315e-11"
"427" "ZFX" "R3HDM4" "6.62700772037897" "0.0847859801952373" "5.5617288552412e-11" "6.60373894521613e-11"
"428" "GFI1B" "MRPL51" "6.60785213550412" "0.0855047579495974" "6.13444850472433e-11" "7.26674156984868e-11"
"429" "GATA1" "LSM5" "6.60272833183421" "0.0856980117436438" "6.29734042689734e-11" "7.44231141360594e-11"
"430" "E2F4" "RPIA" "6.57931813932737" "0.0865863341803362" "7.09805547671749e-11" "8.36910262022272e-11"
"431" "MXI1" "DNMT1" "6.48236558769747" "0.0903605619450528" "1.16429754726255e-10" "1.36960291522532e-10"
"432" "JUNB" "EIF3D" "6.46943932238128" "0.0908755645602574" "1.24358190412011e-10" "1.45948154025207e-10"
"433" "E2F1" "HBA2" "6.46701600875838" "0.0909724268128577" "1.25903287795381e-10" "1.47420246910527e-10"
"434" "IRF7" "RNASEH2B" "6.43146978424284" "0.0924047018319006" "1.50887857763848e-10" "1.76267612641178e-10"
"435" "TAL1" "CENPM" "6.333331770661" "0.096472388498958" "2.4847557344998e-10" "2.89602564917563e-10"
"436" "KLF3" "WASF2" "6.31330363480311" "0.0973233958241276" "2.75053091414179e-10" "3.19843847126121e-10"
"437" "ELF2" "PSMC5" "6.30786304188166" "0.0975558114795384" "2.82748713331671e-10" "3.28040269242922e-10"
"438" "MGA" "RBMX" "6.30462933662272" "0.0976942038122235" "2.87423640443762e-10" "3.32702707089013e-10"
"439" "IKZF1" "SRSF7" "6.28671825397521" "0.0984641595707263" "3.14744119656041e-10" "3.6349719513807e-10"
"440" "LYL1" "HEMGN" "6.278431787606" "0.0988223423084347" "3.28242544256341e-10" "3.78224931677193e-10"
"441" "HSF1" "CA3" "6.26259360552308" "0.0995104289644176" "3.55663498652348e-10" "4.08892049471066e-10"
"442" "ID2" "UBE2B" "6.1519015499407" "0.104449275109592" "6.2243010745533e-10" "7.13963946786996e-10"
"443" "MAX" "APEX1" "6.11377708542341" "0.106204043208791" "7.54408202574552e-10" "8.63397197980357e-10"
"444" "KLF2" "PRPF8" "6.10610523875016" "0.106560553278165" "7.84151743538075e-10" "8.95416517959018e-10"
"445" "IRF2" "HEMGN" "6.03322039677414" "0.110005119127209" "1.13171438886894e-09" "1.28939144979001e-09"
"446" "RORA" "TIMM13" "5.92421818368018" "0.115355951301479" "1.95574967332135e-09" "2.2232400994931e-09"
"447" "MAX" "PIM1" "5.89947454708675" "0.116604759641292" "2.21371077024912e-09" "2.51085315551746e-09"
"448" "CREB1" "R3HDM4" "5.89485234286849" "0.116839467735665" "2.26551655213569e-09" "2.56387699092142e-09"
"449" "MAX" "GTF3C6" "5.80426009907433" "0.121531607019998" "3.56238694099176e-09" "4.02256164606419e-09"
"450" "BBX" "PIGC" "5.71434893481816" "0.126365693225085" "5.57450741123233e-09" "6.28061168332176e-09"
"451" "HSF1" "BLVRB" "5.66858800125812" "0.128895785064183" "6.99735214215735e-09" "7.86620296246958e-09"
"452" "FOXJ2" "PCGF5" "5.61439410187154" "0.131954446168434" "9.15449305249894e-09" "1.02684247292411e-08"
"453" "ZBTB7B" "PCGF5" "5.61312965577781" "0.132026627431868" "9.21200704606662e-09" "1.03101270912931e-08"
"454" "JUND" "RBM3" "5.57846239709261" "0.134020292303836" "1.09364266531742e-08" "1.22131460642276e-08"
"455" "FOXJ2" "PIP4K2A" "5.51513303208219" "0.137736291019025" "1.49536796278937e-08" "1.66626715853673e-08"
"456" "ATF4" "CDKN2D" "5.4554785830926" "0.141325874011465" "2.00642084058344e-08" "2.23082317143817e-08"
"457" "GABPA" "DNMT1" "5.22639721633277" "0.155950299866281" "6.16248515550311e-08" "6.83671766704611e-08"
"458" "ATF1" "POLD2" "4.90571022998915" "0.17883314654609" "2.90733376040464e-07" "3.2183803854261e-07"
"459" "E2F1" "VDAC3" "4.84689007507848" "0.183358108109793" "3.85403342906265e-07" "4.2570696046509e-07"
"460" "SP2" "PCGF5" "4.82683182528945" "0.184925490207126" "4.24205133131572e-07" "4.67547831516755e-07"
"461" "FOS" "RBM38" "4.70999106613954" "0.194307093083085" "7.40213808247958e-07" "8.14074622086149e-07"
"462" "ZFX" "IDH2" "4.54443189734303" "0.20836113923447" "1.61894587780154e-06" "1.77663541135363e-06"
"463" "MYBL2" "TRA2B" "4.41461039023534" "0.220034482345462" "2.97428416651258e-06" "3.25693752142954e-06"
"464" "MGA" "SNRPF" "4.40746841624497" "0.220693889836968" "3.07504597441e-06" "3.36001790738334e-06"
"465" "NFIX" "RPL21" "4.29312267526404" "0.231502344222003" "5.23100345017902e-06" "5.70348118116293e-06"
"466" "E2F1" "EIF1B" "4.26465194793923" "0.234268185354352" "5.96703712418822e-06" "6.49203395271122e-06"
"467" "NFE2L1" "RBM3" "4.20000443383964" "0.240661441298608" "8.03822051442804e-06" "8.72671905956106e-06"
"468" "E4F1" "ILF2" "4.11583724208316" "0.249224417783406" "1.18231371308841e-05" "1.28083985584578e-05"
"469" "ATF5" "CCNL1" "4.10594011966145" "0.250249406141866" "1.23699785976594e-05" "1.33722369914996e-05"
"470" "RORA" "WASF2" "3.9651743403972" "0.265249310773657" "2.34442670519197e-05" "2.52898795645176e-05"
"471" "HDAC2" "NME4" "3.91425072099264" "0.270873616372377" "2.94929870262584e-05" "3.17472280728513e-05"
"472" "CBX5" "LPCAT3" "3.77718558989122" "0.286551005188547" "5.44363521842728e-05" "5.84729460962422e-05"
"473" "JUNB" "RBM3" "3.62210260448342" "0.305267680692807" "0.000107915965744665" "0.000115673138758023"
"474" "MGA" "VDAC3" "3.41717558115857" "0.331664105331215" "0.000262296656835082" "0.000280557816488157"
"475" "CREM" "TRA2B" "3.35149519376057" "0.3405395404942" "0.000347214819521269" "0.000370606133678491"
"476" "MXI1" "LGALS3" "3.31920665623454" "0.344978369557536" "0.000398232918255137" "0.000424168255368392"
"477" "TCF3" "TRA2B" "3.2638549219073" "0.352705132522543" "0.000503114142091809" "0.000534756540965508"
"478" "MAZ" "FUS" "3.25645397975518" "0.353749570587712" "0.000519026381813892" "0.000550515430082936"
"479" "LMO2" "CCT6A" "2.71991927743977" "0.436852828606918" "0.00455618938051361" "0.0048225219539048"
"480" "MXI1" "ANAPC11" "2.70856026879488" "0.438774525983732" "0.00476097567316613" "0.00502878055478173"
"481" "NFE2L1" "SRSF7" "2.48232592427297" "0.478493654097111" "0.0111968876140427" "0.0118021247823693"
"482" "JUNB" "NME4" "2.40576389620446" "0.492562577136891" "0.0148141377427591" "0.0155825058829437"
"483" "E4F1" "HNRNPA3" "2.33124093051879" "0.506562407582147" "0.0193573314872335" "0.0203191864679656"
"484" "E2F2" "CDKN2D" "2.2527046013488" "0.521641946729141" "0.0255167181675916" "0.026729289485473"
"485" "THAP1" "WASF2" "2.23709468207528" "0.524678880537685" "0.0269377191880569" "0.0281596363471028"
